datetime,Model: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: VWC,Model: Grass,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,Model: PPFD_Avg+VWC,Model: PPFD_Avg+Grass,Model: PPFD_Avg+AirTC_Avg+Grass,Model: PPFD_Avg+Sedge+Grass,Model: PPFD_Avg+VWC+Grass,Model: PPFD_Avg+AirTC_Avg+Sedge+Grass,Model: PPFD_Avg+AirTC_Avg+VWC+Grass,BestModel: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass
2016-07-11 17:30:00,-1.8570691,-2.8816302,-1.6362808,-1.6165739,-1.8334812,-1.5808008,-2.3604224,-2.6873362,-1.9636912,-2.1598854,-2.3430793,-2.4969754,-1.9687113,-2.3805425,-1.5657878,-1.8575459
2016-07-11 18:00:00,-1.2501129,-1.9236732,-1.5824187,-1.6165739,-1.8334812,-1.5692216,-1.3282714,-1.7571584,-1.2924844,-1.3500779,-1.3876532,-1.5949802,-1.2159239,-1.5593442,-1.0005372,-1.2501261
2016-07-11 18:30:00,-1.0049317,-1.6243994,-1.5692194,-1.6165739,-1.8349457,-1.6241415,-1.0100019,-1.4925904,-1.1276143,-1.1418025,-1.0646335,-1.4086969,-0.9685458,-1.31968,-0.82666147,-1.004658
2016-07-11 19:00:00,-0.7227731,-1.0165294,-1.549526,-1.6165739,-1.8364103,-1.5978003,-0.40790987,-0.9516757,-0.77658546,-0.7073716,-0.5191467,-0.93734074,-0.60451245,-0.8410597,-0.5649613,-0.7221899
2016-07-11 19:30:00,-0.5197773,-0.793011,-1.535359,-1.6165739,-1.835678,-1.618763,-0.17942679,-0.7428962,-0.6244211,-0.53410876,-0.26989734,-0.7266768,-0.42209983,-0.6300845,-0.42772233,-0.5195004
2016-07-11 20:00:00,-0.1636082,-0.25763106,-1.5256641,-1.6165739,-1.8349457,-1.5985118,0.33208883,-0.2585926,-0.2684456,-0.09670388,0.21331823,-0.22073507,-0.03482198,-0.16807437,-0.13542986,-0.16330767
2016-07-11 20:30:00,0.22320807,0.2527045,-1.5098764,-1.6165739,-1.8349457,-1.6178938,0.78079545,0.1804496,0.06010116,0.3354057,0.6946045,0.28502715,0.32433045,0.28172505,0.21583831,0.22354805
2016-07-11 21:00:00,0.44034374,0.54714906,-1.4971107,-1.6165739,-1.8349457,-1.6207993,1.0378469,0.433761,0.2748834,0.576573,0.97452486,0.5659214,0.53249085,0.53688705,0.43442428,0.44069755
2016-07-11 21:30:00,0.6474446,0.6900965,-1.4992149,-1.6165739,-1.835678,-1.6944213,1.1558293,0.556739,0.37848413,0.7440299,1.2059575,0.73815644,0.6689836,0.7257093,0.6120137,0.6478511
2016-07-11 22:00:00,0.50947964,0.35183227,-1.510157,-1.6165739,-1.8364103,-1.7617893,0.86386406,0.26572978,0.1337055,0.51155674,0.9840487,0.45216858,0.47820508,0.4713806,0.42934835,0.5099076
2016-07-11 22:30:00,0.2672261,0.4774121,-1.5066499,-1.6165739,-1.8386068,-1.5589398,0.9723257,0.3737663,0.23091042,0.46924388,0.816193,0.4706546,0.45309436,0.43145263,0.29156387,0.26740658
2016-07-11 23:00:00,0.52821267,1.0330099,-1.489816,-1.6165739,-1.8408034,-1.4882642,1.4484907,0.8517479,0.64852655,0.8468722,1.2294368,0.9617511,0.8084551,0.8649274,0.6040076,0.5281495
2016-07-11 23:30:00,0.71232307,1.3040487,-1.4875715,-1.6165739,-1.8408034,-1.4847766,1.6708988,1.0849229,0.85611784,1.0582043,1.4815897,1.2195925,1.0118836,1.1091563,0.81086886,0.7122439
2016-07-12 00:00:00,0.9367062,1.5114158,-1.4871505,-1.6165739,-1.8408034,-1.5264825,1.8410915,1.263321,1.0149423,1.259147,1.7356008,1.4450392,1.1911207,1.337901,1.0281905,0.936689
2016-07-12 00:30:00,1.1603249,1.707187,-1.4889742,-1.6165739,-1.8422679,-1.5848349,2.0000925,1.4317433,1.1681463,1.4594847,1.969277,1.6511501,1.3713621,1.5874838,1.2549287,1.160345
2016-07-12 01:00:00,1.3286513,1.8598319,-1.4874312,-1.6165742,-1.8437324,-1.624946,2.1277444,1.5633417,1.287331,1.6074637,2.143637,1.8019575,1.5205442,1.7644523,1.42738,1.3286997
2016-07-12 01:30:00,1.4630858,1.9622053,-1.4746133,-1.6165743,-1.843,-1.6650572,2.2257812,1.6518401,1.3626794,1.7200176,2.2842638,1.9056274,1.6288751,1.8941897,1.5667499,1.4627737
2016-07-12 02:00:00,1.2866961,2.0236828,-1.475212,-1.6165739,-1.8422679,-1.5192904,2.2763774,1.7049845,1.4072436,1.6537923,2.1711795,1.9237176,1.6088187,1.8372022,1.4375068,1.2866594
2016-07-12 02:30:00,1.5008484,2.068036,-1.4771577,-1.6165739,-1.843,-1.6358119,2.311422,1.7433263,1.4423434,1.7747627,2.338436,1.9915286,1.696673,1.9711415,1.6151389,1.5009564
2016-07-12 03:00:00,1.4392098,2.074524,-1.4677016,-1.6165739,-1.8437324,-1.5897195,2.3260443,1.7489344,1.4489404,1.7455028,2.2832782,1.9855112,1.6734842,1.9569165,1.5698146,1.4391888
2016-07-12 03:30:00,1.609011,2.1059299,-1.4647521,-1.6165756,-1.8437324,-1.6977631,2.3688042,1.7760872,1.472581,1.8771309,2.4492815,2.0440736,1.7682027,2.0659828,1.7303365,1.6087192
2016-07-12 04:00:00,1.6622456,2.0801878,-1.459357,-1.6165936,-1.8437324,-1.7533766,2.350756,1.7538687,1.4532038,1.9456869,2.480437,2.0378015,1.782708,2.095537,1.775993,1.6619729
2016-07-12 04:30:00,1.7833456,2.0435197,-1.4541881,-1.6165744,-1.8451968,-1.8821511,2.3206131,1.7221333,1.4290282,2.1123486,2.5631964,2.0401576,1.795967,2.1466398,1.8362879,1.7834347
2016-07-12 05:00:00,1.4846135,1.9851261,-1.4509087,-1.6165739,-1.8466612,-1.6243111,2.2723224,1.6716539,1.3884991,1.7031399,2.2258885,1.9138807,1.6264039,1.9482082,1.5820824,1.4846557
2016-07-12 05:30:00,1.5280877,1.8937877,-1.4519786,-1.6165802,-1.8466612,-1.721953,2.196606,1.5927068,1.319744,1.7448155,2.2546742,1.8615311,1.6141628,1.9219393,1.6306511,1.5277764
2016-07-12 06:00:00,1.2436732,1.7271193,-1.4557612,-1.6165739,-1.8466612,-1.5761747,2.058489,1.448891,1.1931962,1.4682285,1.9498526,1.665799,1.3850471,1.6739029,1.3223494,1.2437025
2016-07-12 06:30:00,1.1271092,1.5447348,-1.4548348,-1.6165739,-1.8481256,-1.5886549,1.907708,1.2919859,1.0567666,1.336888,1.8043867,1.5010976,1.2541052,1.5102106,1.1913542,1.1271833
2016-07-12 07:00:00,0.97048676,1.1050714,-1.4627697,-1.6165752,-1.8495901,-1.6829631,1.5443846,0.91374505,0.7232851,1.0700952,1.5015646,1.1397682,0.9721366,1.1867532,0.9830576,0.970786
2016-07-12 07:30:00,0.5218235,0.73805726,-1.4590318,-1.6165739,-1.8554479,-1.5578173,1.2409385,0.5979997,0.45522916,0.67506874,0.9967061,0.7205814,0.63523924,0.70193684,0.53434885,0.5220331
2016-07-12 08:00:00,0.2648388,0.47954977,-1.4618353,-1.6165739,-1.8613055,-1.5203946,1.0216266,0.37560523,0.27028,0.43745816,0.6763097,0.44986832,0.43525946,0.42939842,0.29368865,0.26498306
2016-07-12 08:30:00,-0.418612,-0.18201578,-1.4505453,-1.6165739,-1.8620378,-1.41232,0.43092573,-0.19354105,-0.20311534,-0.17842448,-0.052132122,-0.17172086,-0.1903032,-0.20798409,-0.27433026,-0.41893017
2016-07-12 09:00:00,-0.07617187,-0.32122242,-1.4539949,-1.6165739,-1.8627701,-1.6552138,0.3011347,-0.3133005,-0.29252493,-0.109682076,0.122155316,-0.25550616,-0.0560311,-0.1628511,-0.10563814,-0.07593011
2016-07-12 09:30:00,-0.34050703,-0.43958426,-1.4528837,-1.6165739,-1.8635021,-1.5424263,0.19374967,-0.41673994,-0.36968613,-0.28773606,-0.13965666,-0.39307392,-0.26677477,-0.33980143,-0.33636296,-0.34036613
2016-07-12 10:00:00,-0.6511946,-0.9678851,-1.4564103,-1.6165739,-1.8642344,-1.5886537,-0.31098974,-0.9057442,-0.73174214,-0.67386794,-0.59389603,-0.8927659,-0.65372527,-0.7915424,-0.58947647,-0.6507206
2016-07-12 10:30:00,-1.057652,-1.7738985,-1.4579078,-1.6165739,-1.8642344,-1.6258237,-1.1131225,-1.6225944,-1.2305251,-1.2435176,-1.2786438,-1.5168676,-1.1558465,-1.4535865,-0.9092235,-1.0576444
2016-07-12 11:00:00,-1.6309243,-2.5868592,-1.4630147,-1.6165739,-1.8642344,-1.5836157,-2.04808,-2.3531291,-1.7446585,-1.859017,-1.9928756,-2.1600122,-1.7762823,-2.1200478,-1.3677131,-1.630948
2016-07-12 11:30:00,-1.7859048,-2.7609153,-1.4641492,-1.6165739,-1.8635021,-1.5809355,-2.289985,-2.556868,-1.8944316,-2.0361993,-2.1956184,-2.3573768,-1.9428723,-2.3022552,-1.5053407,-1.7863592
2016-07-12 12:00:00,-2.5787196,-3.566363,-1.475212,-1.6165739,-1.8627701,-1.6353875,-3.5734365,-3.4347677,-2.9657345,-3.201703,-3.2121556,-3.3758047,-2.9571192,-3.2295537,-2.2099082,-2.5793564
2016-07-12 12:30:00,-2.1006076,-3.5342197,-1.4944453,-1.6165739,-1.8627701,-1.8516047,-3.4740076,-3.3925934,-2.8983939,-3.303193,-3.3505719,-3.4406052,-2.7980196,-3.1500692,-2.147154,-2.1007848
